2026-02-10T16:16:45.746169Z	Elfen lied	Elfen Lied.SP.WEBRip.ja[cc].srt	subtitles/anime_tv/Elfen Lied. Tooriame nite - Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka？/extra/Elfen Lied.SP.WEBRip.ja[cc].srt	github_search
2026-03-30T13:10:21.353462Z	Meitantei Conan	名探偵コナン.江戸川コナン失踪事件〜史上最悪の2日間〜.S01.名探偵コナン.江戸川コナン失踪事件〜史上最悪の2日間〜.WEBRip.Netflix.ja[cc].srt	subtitles/anime_tv/Meitantei Conan. Edogawa Conan Shissou Jiken - Shijou Saiaku no Futsukakan/名探偵コナン.江戸川コナン失踪事件〜史上最悪の2日間〜.S01.名探偵コナン.江戸川コナン失踪事件〜史上最悪の2日間〜.WEBRip.Netflix.ja[cc].srt	github_search
2026-03-30T13:10:21.354605Z	Meitantei Conan	名探偵コナン.エピソード“ONE”.小さくなった名探偵.S01.名探偵コナン.エピソード“ONE”.小さくなった名探偵.WEBRip.Netflix.ja[cc].srt	subtitles/anime_tv/Meitantei Conan Episode ONE Chiisakunatta Meitantei/名探偵コナン.エピソード“ONE”.小さくなった名探偵.S01.名探偵コナン.エピソード“ONE”.小さくなった名探偵.WEBRip.Netflix.ja[cc].srt	github_search
